zip,primary_city,state,county, 
68002,Arlington,NE,Washington County,402
68003,Ashland,NE,Saunders County,402
68004,Bancroft,NE,Cuming County,402
68005,Bellevue,NE,Sarpy County,402
68007,Bennington,NE,Douglas County,402
68008,Blair,NE,Washington County,402
68014,Bruno,NE,Butler County,402
68015,Cedar Bluffs,NE,Saunders County,402
68017,Ceresco,NE,Saunders County,402
68018,Colon,NE,Saunders County,402
68019,Craig,NE,Burt County,402
68020,Decatur,NE,Burt County,402
68022,Elkhorn,NE,Douglas County,402
68023,Fort Calhoun,NE,Washington County,402
68025,Fremont,NE,Dodge County,402
68028,Gretna,NE,Sarpy County,402
68029,Herman,NE,Washington County,402
68030,Homer,NE,Dakota County,402
68031,Hooper,NE,Dodge County,402
68033,Ithaca,NE,Saunders County,402
68034,Kennard,NE,Washington County,402
68036,Linwood,NE,Butler County,402
68037,Louisville,NE,Cass County,402
68038,Lyons,NE,Burt County,402
68039,Macy,NE,Thurston County,402
68040,Malmo,NE,Saunders County,402
68041,Mead,NE,Saunders County,402
68042,Memphis,NE,Saunders County,402
68044,Nickerson,NE,Dodge County,402
68045,Oakland,NE,Burt County,402
68046,Papillion,NE,Sarpy County,402
68047,Pender,NE,Thurston County,402
68048,Plattsmouth,NE,Cass County,402
68050,Prague,NE,Saunders County,402
68055,Rosalie,NE,Thurston County,402
68056,St Columbans,NE,Sarpy County,402
68057,Scribner,NE,Dodge County,402
68059,Springfield,NE,Sarpy County,402
68061,Tekamah,NE,Burt County,402
68062,Thurston,NE,Thurston County,402
68064,Valley,NE,Douglas County,402
68065,Valparaiso,NE,Saunders County,402
68066,Wahoo,NE,Saunders County,402
68067,Walthill,NE,Thurston County,402
68068,Washington,NE,Washington County,402
68069,Waterloo,NE,Douglas County,402
68070,Weston,NE,Saunders County,402
68071,Winnebago,NE,Thurston County,402
68073,Yutan,NE,Saunders County,402
68102,Omaha,NE,Douglas County,402
68104,Omaha,NE,Douglas County,402
68105,Omaha,NE,Douglas County,402
68106,Omaha,NE,Douglas County,402
68107,Omaha,NE,Douglas County,402
68108,Omaha,NE,Douglas County,402
68110,Omaha,NE,Douglas County,402
68111,Omaha,NE,Douglas County,402
68112,Omaha,NE,Douglas County,402
68113,Offutt A F B,NE,Sarpy County,402
68114,Omaha,NE,Douglas County,402
68116,Omaha,NE,Douglas County,402
68117,Omaha,NE,Douglas County,402
68118,Omaha,NE,Douglas County,402
68122,Omaha,NE,Douglas County,402
68123,Bellevue,NE,Sarpy County,402
68124,Omaha,NE,Douglas County,402
68127,Omaha,NE,Douglas County,402
68128,La Vista,NE,Sarpy County,402
68130,Omaha,NE,Douglas County,402
68131,Omaha,NE,Douglas County,402
68132,Omaha,NE,Douglas County,402
68133,Papillion,NE,Sarpy County,402
68134,Omaha,NE,Douglas County,"402,712"
68135,Omaha,NE,Douglas County,402
68136,Omaha,NE,Sarpy County,402
68137,Omaha,NE,Douglas County,402
68138,Omaha,NE,Sarpy County,402
68142,Omaha,NE,Douglas County,402
68144,Omaha,NE,Douglas County,402
68147,Bellevue,NE,Sarpy County,402
68152,Omaha,NE,Douglas County,402
68154,Omaha,NE,Douglas County,402
68157,Omaha,NE,Sarpy County,402
68164,Omaha,NE,Douglas County,402
68182,Omaha,NE,Douglas County,402
68301,Adams,NE,Gage County,402
68303,Alexandria,NE,Thayer County,402
68304,Alvo,NE,Cass County,402
68305,Auburn,NE,Nemaha County,402
68307,Avoca,NE,Cass County,402
68309,Barneston,NE,Gage County,402
68310,Beatrice,NE,Gage County,402
68313,Beaver Crossing,NE,Seward County,402
68314,Bee,NE,Seward County,402
68315,Belvidere,NE,Thayer County,402
68316,Benedict,NE,York County,402
68317,Bennet,NE,Lancaster County,402
68318,Blue Springs,NE,Gage County,402
68319,Bradshaw,NE,York County,402
68320,Brock,NE,Nemaha County,402
